type,name,url,duration,trigger,start_date,end_date,start_time,end_time
photo,Foot Finder,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/footfinder.jpg,,,,,,
photo,BROOKS Glycerin 23,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Glycerin_23_Slide.jpg,,,2026-02-01,2026-03-04,01:00,23:00
photo,ASICS Nimbus 28,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/ASICS_Nimbus28_Sky.jpg,,,,2026-02-16,,23:00
photo,Saucony Endorphin Pro,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Saucony_Endorphin_Pro.jpg,,,2026-02-15,2026-02-28,01:00,23:00
photo,On Cloudrunner 3,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/On_Cloudrunner3.jpg,,,2026-02-05,2026-03-20,01:00,23:00
photo,Nike Vomero Plus,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Vomero_Plus.jpg,,,2026-02-15,2026-02-28,01:00,23:00
photo,BROOKS Glycerin Flex,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Glycerin_Flex_Slide.jpg,,,,2026-03-04,,23:00
photo,HOKA Gaviota 5,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/HOKA_Gaviota5.jpg,,,2026-02-01,2026-02-28,01:00,23:00
photo,Saucony Endorphin Azura,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Saucony_Endorphin_Azura.jpg,,,2026-02-09,2026-03-03,01:00,23:00
video,Brooks Glycerin Flex,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Brooks-Glycerin-Flex_STORE-VERSION-LO-RES.mp4,,,,2026-03-04,,23:00
video,AHA Celebration,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/trigger_media/AHACelebration.mp4,,AHA,,,,
video,VIP Trigger,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/trigger_media/vip_4k.mp4,,WelcomeVIP,,,,
